#k i j head boundname
3 1 16 313.563 north
3 1 17 313.41 north
3 1 18 313.251 north
3 1 19 313.086 north
3 1 20 312.922 north
3 1 21 312.745 north
3 1 22 312.566 north
3 1 23 312.384 north
3 1 24 312.196 north
3 1 25 312.006 north
3 1 26 311.79 north
3 1 27 311.528 north
3 1 28 311.281 north
3 1 29 311.05 north
3 1 30 310.807 north
3 1 31 310.557 north
3 1 32 310.298 north
3 1 33 310.03 north
3 1 34 309.746 north
3 1 35 309.448 north
3 1 36 309.127 north
3 1 37 308.783 north
3 1 38 308.438 north
3 1 39 308.092 north
3 1 40 307.748 north
3 1 41 307.397 north
3 1 42 307.038 north
3 1 43 306.659 north
3 1 44 306.287 north
3 1 45 305.889 north
3 1 46 305.493 north
3 1 47 305.076 north
3 1 48 304.696 north
3 1 49 304.325 north
3 1 50 303.964 north
3 1 51 303.595 north
3 1 52 303.227 north
3 1 53 302.86 north
3 1 54 302.504 north
3 1 55 302.159 north
3 1 56 301.81 north
3 1 57 301.468 north
3 1 58 301.125 north
3 1 59 300.782 north
3 1 60 300.448 north
3 1 61 300.111 north
3 1 62 299.778 north
3 1 63 299.447 north
3 1 64 299.104 north
3 1 65 298.758 north
3 1 66 298.414 north
3 1 67 298.068 north
4 1 68 297.699 east
4 2 68 297.406 east
4 3 68 297.112 east
4 4 68 296.818 east
4 5 68 296.523 east
4 6 68 296.224 east
4 7 68 295.917 east
4 8 68 295.608 east
4 9 68 295.286 east
4 10 68 294.966 east
4 11 68 294.628 east
4 12 68 294.279 east
4 13 68 293.92 east
4 14 68 293.546 east
4 15 68 293.157 east
4 16 68 292.755 east
4 17 68 292.344 east
4 18 68 291.927 east
4 19 68 291.503 east
4 20 68 291.071 east
4 21 68 290.631 east
4 22 68 290.185 east
4 23 68 289.733 east
4 24 68 289.28 east
4 25 68 288.82 east
4 26 68 288.36 east
4 27 68 287.9 east
4 28 68 287.446 east
4 29 68 287.054 east
4 30 68 286.778 east
4 31 68 286.617 east
4 32 68 286.481 east
4 33 68 286.412 east
4 34 68 286.363 east
4 35 68 286.327 east
4 36 68 286.321 east
4 37 68 286.299 east
4 38 68 286.276 east
4 39 68 286.251 east
4 40 68 286.258 east
4 41 68 286.214 east
4 42 68 286.158 east
4 43 68 286.089 east
4 44 68 286.018 east
4 45 68 285.925 east
4 46 68 285.826 east
4 47 68 285.711 east
